4878	ABZ	MAN	700	815	75
9137	ADD	FRA	2345	3015	450
7543	CAK	ORD	822	850	88
5801	CAK	ORD	832	907	95
5815	CAK	ORD	1220	1255	95
7541	CAK	ORD	1230	1305	95
7545	CAK	ORD	1707	1745	98
5054	ALS	DEN	815	915	60
5056	ALS	DEN	1155	1255	60
5058	ALS	DEN	1755	1855	60
2698	ALB	CLT	705	907	122
1776	ALB	CLT	1445	1647	122
287	ALB	ORD	755	911	136
421	ALB	ORD	800	912	132
1577	ALB	ORD	815	927	132
1489	ALB	ORD	945	1056	131
1483	ALB	ORD	945	1100	135
7601	ALB	ORD	1223	1355	152
7599	ALB	ORD	1417	1549	152
1241	ALB	ORD	1730	1841	131
1035	ALB	ORD	1730	1844	134
2815	ALB	PHL	600	707	67
2710	ALB	PHL	745	855	70
2676	ALB	PHL	1115	1225	70
2799	ALB	PHL	1535	1642	67
2820	ALB	PHL	1720	1827	67
2898	ALB	PIT	700	816	76
2707	ALB	PIT	940	1056	76
2706	ALB	PIT	1515	1633	78
2872	ALB	PIT	1815	1931	76
7912	ALB	IAD	610	737	87
7819	ALB	IAD	1025	1150	85
7841	ALB	IAD	1430	1605	95
7851	ALB	IAD	1858	2023	85
418	ABQ	DEN	610	720	70
1092	ABQ	DEN	645	755	70
1280	ABQ	DEN	815	927	72
1580	ABQ	DEN	1032	1145	73
386	ABQ	DEN	1035	1147	72
6320	ABQ	DEN	1210	1345	95
384	ABQ	DEN	1315	1426	71
362	ABQ	DEN	1315	1428	73
1248	ABQ	DEN	1625	1740	75
378	ABQ	DEN	1628	1741	73
6803	ABQ	DEN	1745	1858	73
9097	ALY	FRA	235	640	305
1876	ABE	CLT	745	913	88
5415	ABE	ORD	800	920	140
5411	ABE	ORD	950	1110	140
7515	ABE	ORD	1240	1400	140
5417	ABE	ORD	1245	1405	140
7517	ABE	ORD	1725	1846	141
7565	ABE	ORD	1729	1850	141
5419	ABE	ORD	1730	1850	140
7893	ABE	IAD	640	741	61
7895	ABE	IAD	1045	1147	62
7897	ABE	IAD	1445	1545	60
7899	ABE	IAD	1920	2017	57
9117	ALA	FRA	415	620	425
5094	AMA	DEN	727	800	93
5090	AMA	DEN	1255	1328	93
5096	AMA	DEN	1650	1723	93
5092	AMA	DEN	1827	1900	93
9151	AMM	FRA	320	650	270
967	AMS	ORD	1115	1325	550
9350	AMS	CPH	1000	1130	90
9156	AMS	FRA	705	815	70
9195	AMS	FRA	920	1030	70
9203	AMS	FRA	1030	1140	70
4843	AMS	LHR	720	735	75
4845	AMS	LHR	940	1000	80
4847	AMS	LHR	1115	1135	80
4863	AMS	LHR	1345	1355	70
4849	AMS	LHR	1535	1540	65
8901	AMS	MUC	840	1005	85
9352	AMS	OSL	1035	1215	100
2743	AMS	PHL	1240	1510	510
9354	AMS	ARN	1005	1200	115
947	AMS	IAD	1300	1525	505
1210	ANC	ORD	745	1643	358
1222	ANC	ORD	2020	2909	349
1642	ANC	ORD	2200	3049	349
735	ANC	DEN	1015	1719	304
1527	ANC	DEN	2325	3029	304
1478	ANC	DEN	2345	3048	303
849	ANC	SFO	1500	2034	274
1551	ANC	SEA	30	444	194
8611	ANC	YVR	1430	1835	185
4604	AOI	MUC	800	940	100
4606	AOI	MUC	1250	1430	100
4707	QXG	CDG	652	925	153
9071	ESB	MUC	745	945	180
1941	ANU	PHL	1545	2003	258
9533	APW	AKL	210	2915	245
9534	APW	LAX	45	1415	570
5701	ATW	ORD	625	718	53
5505	ATW	ORD	825	918	53
5507	ATW	ORD	1017	1110	53
5503	ATW	ORD	1312	1405	53
5515	ATW	ORD	1612	1705	53
1961	AUA	CLT	1455	1859	244
1660	AUA	ORD	1550	2014	324
1963	AUA	PHL	1610	2039	269
5656	ASE	DEN	701	745	44
5650	ASE	DEN	840	925	45
5654	ASE	DEN	945	1030	45
5658	ASE	DEN	1040	1125	45
7055	ASE	DEN	1245	1345	60
5668	ASE	DEN	1355	1440	45
5666	ASE	DEN	1545	1630	45
7056	ASE	DEN	1640	1740	60
5662	ASE	DEN	1655	1740	45
5664	ASE	DEN	1835	1920	45
2455	ATL	CLT	620	721	61
3036	ATL	CLT	1030	1141	71
2480	ATL	CLT	1215	1316	61
2482	ATL	CLT	1755	1906	71
298	ATL	ORD	750	847	117
1583	ATL	ORD	750	851	121
1053	ATL	ORD	955	1100	125
1225	ATL	ORD	1005	1109	124
5819	ATL	ORD	1125	1225	120
559	ATL	ORD	1250	1352	122
1027	ATL	ORD	1300	1355	115
1169	ATL	ORD	1501	1605	124
537	ATL	ORD	1502	1605	123
1533	ATL	ORD	1629	1730	121
261	ATL	ORD	1630	1730	120
593	ATL	ORD	1718	1820	122
1035	ATL	ORD	1730	1836	126
161	ATL	ORD	1920	2020	120
469	ATL	ORD	1935	2038	123
365	ATL	DEN	645	751	186
553	ATL	DEN	705	806	181
397	ATL	DEN	825	933	180
716	ATL	DEN	930	1034	184
439	ATL	DEN	1133	1240	187
281	ATL	DEN	1155	1256	181
443	ATL	DEN	1445	1557	192
1542	ATL	DEN	1450	1602	192
739	ATL	DEN	1805	1921	196
453	ATL	DEN	1806	1918	192
1445	ATL	DEN	1806	1920	194
8830	ATL	FRA	1610	3105	535
2481	ATL	PHL	645	846	121
2421	ATL	PHL	1245	1441	116
3035	ATL	PHL	1425	1626	121
2427	ATL	PIT	1030	1218	108
2492	ATL	PIT	1940	2118	98
293	ATL	SFO	755	951	296
1659	ATL	SFO	1650	1842	292
8736	ATL	YYZ	630	900	150
8661	ATL	YYZ	935	1205	150
8655	ATL	YYZ	1130	1400	150
8523	ATL	YYZ	1145	1351	126
8525	ATL	YYZ	1600	1810	130
8657	ATL	YYZ	1615	1845	150
8651	ATL	YYZ	1800	2015	135
8453	ATL	YYZ	2050	2255	125
5890	ATL	IAD	600	750	110
5888	ATL	IAD	945	1135	110
5892	ATL	IAD	1340	1530	110
5894	ATL	IAD	1452	1642	110
5896	ATL	IAD	1840	2030	110
9532	AKL	APW	2000	2450	230
9585	AKL	BNE	640	825	225
9583	AKL	CNS	700	1000	300
9519	AKL	CHC	650	810	80
9521	AKL	CHC	845	1005	80
9523	AKL	DUD	715	905	110
0	AKL	HNL	1150	2230	520
9544	AKL	LAX	1615	3315	720
9578	AKL	LAX	1850	3550	720
9550	AKL	LAX	2045	3745	720
9557	AKL	MEL	630	830	240
9541	AKL	MEL	1515	1730	255
9538	AKL	NAN	900	1200	180
9592	AKL	NAN	1600	1905	185
9551	AKL	PER	1400	1740	460
9531	AKL	ZQN	1000	1150	110
9540	AKL	RAR	1900	2450	230
9561	AKL	SYD	700	830	210
9569	AKL	SYD	900	1030	210
9547	AKL	SYD	1300	1430	210
9559	AKL	SYD	1530	1700	210
9575	AKL	SYD	1800	1935	215
9517	AKL	WLG	700	800	60
9527	AKL	WLG	800	900	60
9529	AKL	WLG	900	1000	60
